plate,state,timeYYYYMMDDHHMM
ABC-111,NY,202501270000
ABC-222,NY,202501270000
ABC-333,NY,202501270010
ABC-444,CT,202501270010
ABC-555,NY,202501270020
ABC-666,NY,202501270020
ABC-777,CT,202501270040
ABC-888,NY,202501270040
ABC-999,NJ,202501270050
ABC-000,PA,202501270050
DEF-111,NY,202501270100
DEF-222,NY,202501270100
DEF-333,NY,202501270110
DEF-444,CT,202501270110
DEF-555,NY,202501270120
DEF-666,NY,202501270120
DEF-777,CT,202501270140
DEF-888,NY,202501270140
DEF-999,NJ,202501270150
DEF-000,PA,202501270150
GHI-111,NY,202501270200
GHI-222,NY,202501270200
GHI-333,NY,202501270210
GHI-444,CT,202501270210
GHI-555,NY,202501270220
GHI-666,VT,202501270220
GHI-777,CT,202501270240
GHI-888,MA,202501270240
GHI-999,NJ,202501270250
GHI-000,PA,202501270250
JKL-111,NY,202501270300
JKL-222,NY,202501270300
JKL-333,NY,202501270310
JKL-444,CT,202501270310
JKL-555,NY,202501270320
JKL-666,VT,202501270320
JKL-777,CT,202501270340
JKL-888,MA,202501270340
JKL-999,NJ,202501270350
JKL-000,PA,202501270350
MNO-111,NY,202501270400
MNO-222,NY,202501270400
MNO-333,NY,202501270410
MNO-444,VA,202501270410
MNO-555,NY,202501270420
MNO-666,VT,202501270420
MNO-777,CT,202501270440
MNO-888,MA,202501270440
MNO-999,NJ,202501270450
MNO-000,PA,202501270450
PQR-111,NY,202501270500
PQR-222,NY,202501270500
PQR-333,NY,202501270510
PQR-444,VA,202501270510
PQR-555,NY,202501270520
PQR-666,VT,202501270520
PQR-777,CT,202501270540
PQR-888,MA,202501270540
PQR-999,NJ,202501270550
PQR-000,PA,202501270550
STU-111,NY,202501270600
STU-222,NY,202501270600
STU-333,NY,202501270610
STU-444,VA,202501270610
STU-555,NY,202501270620
STU-666,VT,202501270620
STU-777,CT,202501270640
STU-888,MA,202501270640
STU-999,NH,202501270650
STU-000,NH,202501270650
VWX-111,NY,202501270700
VWX-222,NY,202501270700
VWX-333,NY,202501270710
VWX-444,VA,202501270710
VWX-555,NY,202501270720
VWX-666,VT,202501270720
VWX-777,CT,202501270740
VWX-888,MA,202501270740
VWX-999,NH,202501270750
VWX-000,NH,202501270750
YZZ-111,NY,202501270800
YZZ-222,NY,202501270800
YZZ-333,NY,202501270810
YZZ-444,VA,202501270810
YZZ-555,NY,202501270820
YZZ-666,VT,202501270820
YZZ-777,CT,202501270840
YZZ-888,MA,202501270840
YZZ-999,NH,202501270850
YZZ-000,NH,202501270850
AAA-111,NY,202501270900
AAA-222,NY,202501270900
AAA-333,CT,202501270910
AAA-444,RI,202501270910
AAA-555,NY,202501270920
AAA-666,VT,202501270920
AAA-777,CT,202501270940
AAA-888,RI,202501270940
AAA-999,NH,202501270950
AAA-000,CA,202501270950
BBB-111,NY,202501271000
BBB-222,NY,202501271000
BBB-333,CT,202501271010
BBB-444,RI,202501271010
BBB-555,NY,202501271020
BBB-666,VT,202501271020
BBB-777,CT,202501271040
BBB-888,RI,202501271040
BBB-999,NH,202501271050
BBB-000,CA,202501271050
CCC-111,NY,202501271100
CCC-222,NY,202501271100
CCC-333,CT,202501271110
CCC-444,RI,202501271110
CCC-555,NY,202501271120
CCC-666,VT,202501271120
CCC-777,ME,202501271140
CCC-888,CT,202501271140
CCC-999,FL,202501271150
CCC-000,TX,202501271150
DDD-111,NY,202501271200
DDD-222,NY,202501271200
DDD-333,CT,202501271210
DDD-444,RI,202501271210
DDD-555,NY,202501271220
DDD-666,VT,202501271220
DDD-777,ME,202501271240
DDD-888,CT,202501271240
DDD-999,FL,202501271250
DDD-000,TX,202501271250
EEE-111,NY,202501271300
EEE-222,NY,202501271300
EEE-333,CT,202501271310
EEE-444,RI,202501271310
EEE-555,NY,202501271320
EEE-666,VT,202501271320
EEE-777,ME,202501271340
EEE-888,CT,202501271340
EEE-999,FL,202501271350
EEE-000,TX,202501271350
FFF-111,NY,202501271400
FFF-222,NY,202501271400
FFF-333,NY,202501271410
FFF-444,NY,202501271410
FFF-555,NY,202501271420
FFF-666,VT,202501271420
FFF-777,ME,202501271440
FFF-888,CT,202501271440
FFF-999,FL,202501271450
FFF-000,TX,202501271450
GGG-111,NY,202501271500
GGG-222,NY,202501271500
GGG-333,NY,202501271510
GGG-444,NY,202501271510
GGG-555,NY,202501271520
GGG-666,VT,202501271520
GGG-777,ME,202501271540
GGG-888,CT,202501271540
GGG-999,FL,202501271550
GGG-000,TX,202501271550
HHH-111,NY,202501271600
HHH-222,NY,202501271600
HHH-333,NY,202501271610
HHH-444,NY,202501271610
HHH-555,NY,202501271620
HHH-666,VT,202501271620
HHH-777,ME,202501271640
HHH-888,CT,202501271640
HHH-999,FL,202501271650
HHH-000,TX,202501271650
III-111,NY,202501271700
III-222,NY,202501271700
III-333,NY,202501271710
III-444,NY,202501271710
III-555,NY,202501271720
III-666,VT,202501271720
III-777,ME,202501271740
III-888,CT,202501271740
III-999,FL,202501271750
III-000,TX,202501271750
JJJ-111,NY,202501271800
JJJ-222,NY,202501271800
JJJ-333,NY,202501271810
JJJ-444,NY,202501271810
JJJ-555,NY,202501271820
JJJ-666,VT,202501271820
JJJ-777,ME,202501271840
JJJ-888,CT,202501271840
JJJ-999,FL,202501271850
JJJ-000,TX,202501271850
KKK-111,NY,202501271900
KKK-222,NY,202501271900
KKK-333,NY,202501271910
KKK-444,NY,202501271910
KKK-555,NY,202501271920
KKK-666,VT,202501271920
KKK-777,ME,202501271940
KKK-888,CT,202501271940
KKK-999,IL,202501271950
KKK-000,IL,202501271950
LLL-111,NY,202501272000
LLL-222,NY,202501272000
LLL-333,NY,202501272010
LLL-444,NY,202501272010
LLL-555,NY,202501272020
LLL-666,VT,202501272020
LLL-777,ME,202501272040
LLL-888,CT,202501272040
LLL-999,IL,202501272050
LLL-000,IL,202501272050
MMM-111,NY,202501272100
MMM-222,NY,202501272100
MMM-333,NY,202501272110
MMM-444,NY,202501272110
MMM-555,NY,202501272120
MMM-666,VT,202501272120
MMM-777,ME,202501272140
MMM-888,CT,202501272140
MMM-999,IL,202501272150
MMM-000,IL,202501272150
NNN-111,NY,202501272200
NNN-222,NY,202501272200
NNN-333,NY,202501272210
NNN-444,NY,202501272210
NNN-555,NY,202501272220
NNN-666,NY,202501272220
NNN-777,NY,202501272240
NNN-888,NY,202501272240
NNN-999,NY,202501272250
NNN-000,NY,202501272250
OOO-111,NY,202501272300
OOO-222,NJ,202501272300
OOO-333,PA,202501272310
OOO-444,CT,202501272310
OOO-555,MA,202501272320
OOO-666,VT,202501272320
OOO-777,NH,202501272340
OOO-888,ME,202501272340
OOO-999,RI,202501272350
OOO-000,VA,202501272350